1M NTC Thermistor Accuracy Temperature Sensor 10K 1% 3950 Waterproof Probe

Features
  Measurement range: -20 Celsius ~ 105 Celsius
  Length of wire: 1 meter
  Size of probe: 5 x 30 mm
  Type: NTC 10K±1% 3950
  Typical Dissipation Constant: 5mW/Celsius
  Probe insulation resistance: >100MOhm
  Peak Voltage sustain time: 2 seconds, AC1800V 1mA 2 seconds


3950 10K Temperature resistance correspond

℃,Rmin(KΩ),Rnom(KΩ),Rmax(KΩ)
154,0.153,0.1612,0.170
155,0.150,0.1576,0.166
156,0.146,0.1541,0.162
157,0.143,0.1507,0.159
158,0.140,0.1474,0.155
159,0.137,0.1441,0.152
160,0.134,0.1410,0.149
161,0.131,0.1379,0.145
162,0.128,0.1350,0.142
163,0.125,0.1321,0.139
164,0.123,0.1293,0.136
165,0.120,0.1265,0.133
166,0.117,0.1239,0.131
167,0.115,0.1213,0.128
168,0.112,0.1187,0.125
169,0.110,0.1163,0.123
170,0.108,0.1139,0.120
171,0.106,0.1115,0.118
172,0.103,0.1092,0.115
173,0.101,0.1070,0.113
174,0.099,0.1048,0.111
175,0.097,0.1027,0.109
176,0.095,0.1006,0.106
177,0.093,0.0986,0.104
178,0.091,0.0966,0.102
179,0.089,0.0947,0.100
180,0.088,0.0928,0.098
181,0.086,0.0909,0.096
182,0.084,0.0891,0.094
183,0.082,0.0873,0.092
184,0.081,0.0856,0.091
185,0.079,0.0839,0.089
186,0.078,0.0822,0.087
187,0.076,0.0806,0.085
188,0.075,0.0790,0.084
189,0.073,0.0774,0.082
190,0.072,0.0759,0.080
191,0.070,0.0743,0.079
192,0.069,0.0729,0.077
193,0.067,0.0714,0.076
194,0.066,0.0700,0.074
195,0.065,0.0686,0.073
196,0.063,0.0672,0.071
197,0.062,0.0658,0.070
198,0.061,0.0645,0.069
199,0.059,0.0631,0.067
200,0.058,0.0619,0.066
201,0.057,0.0611,0.065
202,0.056,0.0603,0.065
203,0.055,0.0595,0.064
